Store,DayOfWeek,Date,Sales,Customers,Promo,SchoolHoliday
315,5,1/4/2013,4134,464,0,1
333,5,1/4/2013,8036,1103,0,1
340,5,1/4/2013,5602,664,0,1
344,5,1/4/2013,7716,1064,0,1
374,5,1/4/2013,5313,697,0,1
377,5,1/4/2013,6050,820,0,1
379,5,1/4/2013,3285,442,0,1
398,5,1/4/2013,4793,603,0,1
439,5,1/4/2013,5942,840,0,1
447,5,1/4/2013,3787,479,0,1
459,5,1/4/2013,6877,991,0,1
472,5,1/4/2013,4696,688,0,1
478,5,1/4/2013,6324,654,0,1
480,5,1/4/2013,4027,560,0,1
487,5,1/4/2013,5858,619,0,1
496,5,1/4/2013,7064,796,0,1
511,5,1/4/2013,4807,764,0,1
531,5,1/4/2013,4200,550,0,1
549,5,1/4/2013,4870,542,0,1
551,5,1/4/2013,5795,887,0,1
566,5,1/4/2013,4380,557,0,1
569,5,1/4/2013,4053,622,0,1
576,5,1/4/2013,5070,814,0,1
577,5,1/4/2013,3802,519,0,1
580,5,1/4/2013,8790,1487,0,1
585,5,1/4/2013,5854,870,0,1
593,5,1/4/2013,7941,1084,0,1
599,5,1/4/2013,7753,786,0,1
628,5,1/4/2013,5508,747,0,1
632,5,1/4/2013,5487,789,0,1
679,5,1/4/2013,9245,1047,0,1
680,5,1/4/2013,5298,872,0,1
683,5,1/4/2013,9207,903,0,1
698,5,1/4/2013,13606,1749,0,1
709,5,1/4/2013,8330,1093,0,1
725,5,1/4/2013,5517,607,0,1
763,5,1/4/2013,5449,559,0,1
768,5,1/4/2013,10781,1158,0,1
774,5,1/4/2013,4578,635,0,1
801,5,1/4/2013,4204,436,0,1
802,5,1/4/2013,5927,505,0,1
819,5,1/4/2013,5350,504,0,1
822,5,1/4/2013,6458,583,0,1
824,5,1/4/2013,4416,545,0,1
834,5,1/4/2013,5091,591,0,1
839,5,1/4/2013,4848,655,0,1
840,5,1/4/2013,7117,1038,0,1
843,5,1/4/2013,9455,1200,0,1
862,5,1/4/2013,7691,1077,0,1
896,5,1/4/2013,5350,881,0,1
912,5,1/4/2013,5348,749,0,1
914,5,1/4/2013,8946,1155,0,1
923,5,1/4/2013,4903,619,0,1
938,5,1/4/2013,7411,863,0,1
957,5,1/4/2013,6318,749,0,1
958,5,1/4/2013,4559,619,0,1
987,5,1/4/2013,6000,856,0,1
988,5,1/4/2013,3940,646,0,1
1002,5,1/4/2013,4779,625,0,1
1007,5,1/4/2013,5725,745,0,1
1010,5,1/4/2013,6664,736,0,1
1024,5,1/4/2013,5627,756,0,1
1033,5,1/4/2013,12059,1268,0,1
1057,5,1/4/2013,5192,588,0,1
1071,5,1/4/2013,5575,679,0,1
1075,5,1/4/2013,10233,997,0,1
1091,5,1/4/2013,7228,622,0,1
1106,5,1/4/2013,3956,507,0,1
1113,5,1/4/2013,5524,646,0,1
4,4,1/3/2013,8247,1248,0,1
8,4,1/3/2013,4842,662,0,1
11,4,1/3/2013,7375,1123,0,1
12,4,1/3/2013,4867,712,0,1
34,4,1/3/2013,6870,947,0,1
44,4,1/3/2013,3853,491,0,1
48,4,1/3/2013,3989,470,0,1
68,4,1/3/2013,6463,1171,0,1
73,4,1/3/2013,3890,459,0,1
101,4,1/3/2013,5429,609,0,1
109,4,1/3/2013,5755,731,0,1
110,4,1/3/2013,4829,644,0,1
119,4,1/3/2013,4953,576,0,1
134,4,1/3/2013,4541,481,0,1
163,4,1/3/2013,8666,1067,0,1
185,4,1/3/2013,6075,508,0,1
197,4,1/3/2013,4936,734,0,1
211,4,1/3/2013,12412,1474,0,1
217,4,1/3/2013,3399,532,0,1
221,4,1/3/2013,4840,483,0,1
236,4,1/3/2013,6287,800,0,1
237,4,1/3/2013,4247,569,0,1
248,4,1/3/2013,8012,1162,0,1
249,4,1/3/2013,4565,501,0,1
257,4,1/3/2013,6339,764,0,1
260,4,1/3/2013,6227,894,0,1
268,4,1/3/2013,3863,533,0,1
270,4,1/3/2013,7625,1093,0,1
278,4,1/3/2013,6161,784,0,1
301,4,1/3/2013,4503,546,0,1
304,4,1/3/2013,5457,893,0,1
315,4,1/3/2013,4219,468,0,1
333,4,1/3/2013,8345,1107,0,1
340,4,1/3/2013,4932,626,0,1
344,4,1/3/2013,6569,989,0,1
374,4,1/3/2013,6812,831,0,1
377,4,1/3/2013,5030,769,0,1
379,4,1/3/2013,2967,392,0,1
398,4,1/3/2013,3829,493,0,1
439,4,1/3/2013,6072,828,0,1
447,4,1/3/2013,4123,509,0,1
459,4,1/3/2013,7915,1127,0,1
472,4,1/3/2013,4350,655,0,1
478,4,1/3/2013,5845,665,0,1
480,4,1/3/2013,4354,614,0,1
487,4,1/3/2013,4874,539,0,1
496,4,1/3/2013,6065,734,0,1
511,4,1/3/2013,4940,707,0,1
531,4,1/3/2013,4498,578,0,1
549,4,1/3/2013,3121,396,0,1
551,4,1/3/2013,5823,902,0,1
566,4,1/3/2013,3240,398,0,1
569,4,1/3/2013,4403,647,0,1
576,4,1/3/2013,4975,793,0,1
577,4,1/3/2013,4166,584,0,1
580,4,1/3/2013,10832,1809,0,1
585,4,1/3/2013,5859,866,0,1
593,4,1/3/2013,10496,1499,0,1
599,4,1/3/2013,7790,733,0,1
628,4,1/3/2013,5476,764,0,1
632,4,1/3/2013,5558,745,0,1
679,4,1/3/2013,8344,937,0,1
680,4,1/3/2013,4793,844,0,1
683,4,1/3/2013,9962,976,0,1
698,4,1/3/2013,13417,1757,0,1
709,4,1/3/2013,9134,1206,0,1
725,4,1/3/2013,5226,571,0,1
763,4,1/3/2013,4967,538,0,1
768,4,1/3/2013,10823,1207,0,1
774,4,1/3/2013,4645,678,0,1
801,4,1/3/2013,4247,423,0,1
802,4,1/3/2013,5060,441,0,1
819,4,1/3/2013,5501,496,0,1
822,4,1/3/2013,6499,586,0,1
824,4,1/3/2013,5001,587,0,1
834,4,1/3/2013,5196,634,0,1
839,4,1/3/2013,5150,714,0,1
840,4,1/3/2013,6724,1038,0,1
843,4,1/3/2013,9186,1219,0,1
862,4,1/3/2013,7921,1145,0,1
896,4,1/3/2013,6335,1012,0,1
912,4,1/3/2013,5245,761,0,1
914,4,1/3/2013,8698,1224,0,1
923,4,1/3/2013,4384,571,0,1
938,4,1/3/2013,8233,898,0,1
957,4,1/3/2013,5977,716,0,1
958,4,1/3/2013,5320,694,0,1
987,4,1/3/2013,6444,934,0,1
988,4,1/3/2013,4335,737,0,1
1002,4,1/3/2013,4048,584,0,1
1007,4,1/3/2013,5137,678,0,1
1010,4,1/3/2013,6827,640,0,1
1024,4,1/3/2013,4750,694,0,1
1033,4,1/3/2013,12732,1300,0,1
1057,4,1/3/2013,5163,577,0,1
1071,4,1/3/2013,4891,657,0,1
1075,4,1/3/2013,11298,1101,0,1
1091,4,1/3/2013,6044,584,0,1
1106,4,1/3/2013,4330,550,0,1
1113,4,1/3/2013,5563,718,0,1
4,3,1/2/2013,9941,1429,0,1
8,3,1/2/2013,5419,698,0,1
11,3,1/2/2013,8913,1402,0,1
12,3,1/2/2013,5029,786,0,1
34,3,1/2/2013,7766,1019,0,1
44,3,1/2/2013,4666,572,0,1
48,3,1/2/2013,4091,513,0,1
68,3,1/2/2013,7669,1326,0,1
73,3,1/2/2013,3692,453,0,1
101,3,1/2/2013,6072,697,0,1
109,3,1/2/2013,6357,767,0,1
110,3,1/2/2013,5298,689,0,1
119,3,1/2/2013,5668,691,0,1
134,3,1/2/2013,4553,505,0,1
163,3,1/2/2013,9866,1180,0,1
185,3,1/2/2013,5223,456,0,1
197,3,1/2/2013,6545,921,0,1
211,3,1/2/2013,12655,1529,0,1
217,3,1/2/2013,4347,655,0,1
221,3,1/2/2013,5232,534,0,1
236,3,1/2/2013,6967,882,0,1
237,3,1/2/2013,5167,664,0,1
248,3,1/2/2013,8946,1242,0,1
249,3,1/2/2013,4597,551,0,1
257,3,1/2/2013,7190,861,0,1
260,3,1/2/2013,6799,957,0,1
268,3,1/2/2013,4567,617,0,1
270,3,1/2/2013,8835,1195,0,1
278,3,1/2/2013,7007,844,0,1
301,3,1/2/2013,4973,603,0,1
304,3,1/2/2013,7108,1096,0,1
315,3,1/2/2013,4382,479,0,1
333,3,1/2/2013,9138,1256,0,1
340,3,1/2/2013,5628,699,0,1
344,3,1/2/2013,6864,1063,0,1
374,3,1/2/2013,6620,854,0,1
377,3,1/2/2013,5995,842,0,1
379,3,1/2/2013,3389,413,0,1
398,3,1/2/2013,3603,508,0,1
439,3,1/2/2013,7354,968,0,1
447,3,1/2/2013,4938,582,0,1
459,3,1/2/2013,8354,1123,0,1
472,3,1/2/2013,5166,735,0,1
478,3,1/2/2013,7702,818,0,1
480,3,1/2/2013,4827,660,0,1
487,3,1/2/2013,4428,533,0,1
496,3,1/2/2013,7426,840,0,1
511,3,1/2/2013,5541,861,0,1
531,3,1/2/2013,5060,607,0,1
549,3,1/2/2013,3530,450,0,1
551,3,1/2/2013,6576,1038,0,1
566,3,1/2/2013,4194,515,0,1
569,3,1/2/2013,5313,734,0,1
576,3,1/2/2013,5493,861,0,1
577,3,1/2/2013,4324,627,0,1
580,3,1/2/2013,11952,1957,0,1
585,3,1/2/2013,6078,973,0,1
593,3,1/2/2013,10059,1380,0,1
599,3,1/2/2013,8527,798,0,1
628,3,1/2/2013,6507,838,0,1
632,3,1/2/2013,6239,867,0,1
679,3,1/2/2013,9118,1068,0,1
680,3,1/2/2013,5459,957,0,1
683,3,1/2/2013,9784,977,0,1
698,3,1/2/2013,15829,2013,0,1
709,3,1/2/2013,8263,1122,0,1
725,3,1/2/2013,5252,594,0,1
763,3,1/2/2013,5006,518,0,1
768,3,1/2/2013,11803,1315,0,1
774,3,1/2/2013,5508,770,0,1
801,3,1/2/2013,4276,472,0,1
802,3,1/2/2013,5469,468,0,1
819,3,1/2/2013,5947,550,0,1
822,3,1/2/2013,7988,672,0,1
824,3,1/2/2013,5264,645,0,1
834,3,1/2/2013,6609,732,0,1
839,3,1/2/2013,5282,703,0,1
840,3,1/2/2013,7654,1125,0,1
843,3,1/2/2013,9877,1343,0,1
862,3,1/2/2013,9073,1264,0,1
896,3,1/2/2013,6677,1058,0,1
912,3,1/2/2013,5392,816,0,1
914,3,1/2/2013,9435,1219,0,1
923,3,1/2/2013,5299,639,0,1
938,3,1/2/2013,8551,968,0,1
957,3,1/2/2013,6854,844,0,1
958,3,1/2/2013,5826,722,0,1
987,3,1/2/2013,7083,996,0,1
988,3,1/2/2013,4992,829,0,1
1002,3,1/2/2013,4867,676,0,1
1007,3,1/2/2013,5810,796,0,1
1010,3,1/2/2013,6940,721,0,1
1024,3,1/2/2013,5123,732,0,1
1033,3,1/2/2013,13811,1408,0,1
1057,3,1/2/2013,4569,549,0,1
1071,3,1/2/2013,6019,776,0,1
1075,3,1/2/2013,12956,1181,0,1
1091,3,1/2/2013,6448,639,0,1
1106,3,1/2/2013,5099,620,0,1
1113,3,1/2/2013,6218,753,0,1
